name,gender,place_of_birth,birthday,profile_url,popularity,latitude,longitude
Mark Hamill,2,Concord California USA,25/09/1951,https://www.themoviedb.org/person/2,579.1764698,37.9768525,-122.0335624
Harrison Ford,2,Chicago Illinois USA,13/07/1942,https://www.themoviedb.org/person/3,9380.392968,41.8755616,-87.6244212
Carrie Fisher,1,Beverly Hills Los Angeles California USA,21/10/1956,https://www.themoviedb.org/person/4,1247.949932,34.0696501,-118.3963062
Bob Peterson,2,Wooster Ohio USA,18/01/1961,https://www.themoviedb.org/person/10,2607.347489,40.7980976,-81.9397733
Alexander Gould,2,Los Angeles California USA,04/05/1994,https://www.themoviedb.org/person/12,891.1536194,34.0536909,-118.242766
Albert Brooks,2,Beverly Hills California USA,22/07/1947,https://www.themoviedb.org/person/13,6896.442622,34.0696501,-118.3963062
Ellen DeGeneres,1,Metairie Louisiana USA,26/01/1958,https://www.themoviedb.org/person/14,2310.718353,30.00185465,-90.17670122
Brad Garrett,2,Woodland Hills Los Angeles California USA,14/04/1960,https://www.themoviedb.org/person/18,3081.549604,34.1684364,-118.6058382
Allison Janney,1,Boston Massachusetts USA,19/11/1959,https://www.themoviedb.org/person/19,1305.970615,42.3554334,-71.060511
Elizabeth Perkins,1,Queens New York USA,18/11/1960,https://www.themoviedb.org/person/20,1148.970873,40.7135078,-73.8283132
Tom Hanks,2,Concord California United States,09/07/1956,https://www.themoviedb.org/person/31,34628.15118,37.9768525,-122.0335624
Robin Wright,1,Dallas Texas USA,08/04/1966,https://www.themoviedb.org/person/32,2133.711744,32.7762719,-96.7968559
Gary Sinise,2,Blue Island Illinois USA,17/03/1955,https://www.themoviedb.org/person/33,2855.437295,41.6572753,-87.6801848
Mykelti Williamson,2,Saint Louis Missouri USA,04/03/1957,https://www.themoviedb.org/person/34,1110.639841,38.6264256,-90.1995853
Sally Field,1,Pasadena California USA,06/11/1946,https://www.themoviedb.org/person/35,1910.484518,34.1476452,-118.1444779
Maria Bello,1,Norristown Pennsylvania USA,18/04/1967,https://www.themoviedb.org/person/49,347.5255527,40.121497,-75.3399048
David Morse,2,Hamilton Massachusetts USA,11/10/1953,https://www.themoviedb.org/person/52,893.3741758,42.6362052,-70.8431049
Chris Tucker,2,Atlanta Georgia USA,31/08/1971,https://www.themoviedb.org/person/66,1556.760852,33.7489924,-84.3902644
