name,profile_url,place_of_birth,longitude,latitude,popularity
Mark Hamill,https://www.themoviedb.org/person/2,Concord California USA,-122.0335624,37.9768525,579.1764698031326
Harrison Ford,https://www.themoviedb.org/person/3,Chicago Illinois USA,-87.6244212,41.8755616,9380.392967524676
Carrie Fisher,https://www.themoviedb.org/person/4,Beverly Hills Los Angeles California USA,-118.3963062,34.0696501,1247.949932132715
Bob Peterson,https://www.themoviedb.org/person/10,Wooster Ohio USA,-81.9397733,40.7980976,2607.347489056136
Alexander Gould,https://www.themoviedb.org/person/12,Los Angeles California USA,-118.242766,34.0536909,891.1536194030851
Albert Brooks,https://www.themoviedb.org/person/13,Beverly Hills California USA,-118.3963062,34.0696501,6896.4426220438445
Ellen DeGeneres,https://www.themoviedb.org/person/14,Metairie Louisiana USA,-90.1767012249077,30.00185465,2310.7183527740585
Brad Garrett,https://www.themoviedb.org/person/18,Woodland Hills Los Angeles California USA,-118.6058382,34.1684364,3081.5496042630507
Allison Janney,https://www.themoviedb.org/person/19,Boston Massachusetts USA,-71.060511,42.3554334,1305.9706152976523
Elizabeth Perkins,https://www.themoviedb.org/person/20,Queens New York USA,-73.8283132,40.7135078,1148.9708726897784
Tom Hanks,https://www.themoviedb.org/person/31,Concord California United States,-122.0335624,37.9768525,34628.15117901623
Robin Wright,https://www.themoviedb.org/person/32,Dallas Texas USA,-96.7968559,32.7762719,2133.711743566195
Gary Sinise,https://www.themoviedb.org/person/33,Blue Island Illinois USA,-87.6801848,41.6572753,2855.4372949316457
Mykelti Williamson,https://www.themoviedb.org/person/34,Saint Louis Missouri USA,-90.1995853,38.6264256,1110.639840806423
Sally Field,https://www.themoviedb.org/person/35,Pasadena California USA,-118.1444779,34.1476452,1910.4845176819101
Maria Bello,https://www.themoviedb.org/person/49,Norristown Pennsylvania USA,-75.3399048,40.121497,347.52555266672414
David Morse,https://www.themoviedb.org/person/52,Hamilton Massachusetts USA,-70.8431049,42.6362052,893.3741757845429
Chris Tucker,https://www.themoviedb.org/person/66,Atlanta Georgia USA,-84.3902644,33.7489924,1556.7608521621514
Johnny Depp,https://www.themoviedb.org/person/85,Owensboro Kentucky USA ,-87.1133304,37.7742152,13358.466513202173
Amanda Plummer,https://www.themoviedb.org/person/99,New York City New York USA,-74.0060152,40.7127281,361.2402739236344
Debbie Harry,https://www.themoviedb.org/person/102,Miami Florida USA,-80.19362,25.7741728,30.52748843252873
Mark Ruffalo,https://www.themoviedb.org/person/103,Kenosha Wisconsin USA,-87.8212263,42.5846773,8329.665916359265
Elijah Wood,https://www.themoviedb.org/person/109,Cedar Rapids Iowa USA,-91.6704053,41.9758872,2058.640594081794
